order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,purchase_year,purchase_month,purchase_day,purchase_weekday,delivery_days,estimated_delivery_days,delivery_delay,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,total_revenue
fcf3f4101d34a36c71f1f83b811e88c1,a59323ad5a658a37baf2a4f63899e69c,delivered,23-11-2017 07:19,24-11-2017 03:09,24-11-2017 22:03,19-12-2017 18:44,14-12-2017,2017,11,23,Thursday,26,20,6,1,f74979b5e7c8d317baa1bfc0ea886ee1,0d33a55da925bbf1ff02af5f6059fc7f,30-11-2017 03:09,10.9,15.1,26
306151d434933050d958f0db23e970a7,54dd42fc9598bd2f29c6860c16fce38b,delivered,22-01-2018 18:25,24-01-2018 02:53,25-01-2018 23:42,30-01-2018 14:09,06-02-2018,2018,1,22,Monday,7,14,-7,1,0baaa6da9c9440c4655efd0762a0edcf,e5a3438891c0bfdb9394643f95273d8e,30-01-2018 02:53,20.3,8.11,28.41
6675422f9d49e8525401bd2a643110b5,35aea88511c8610032abd3dfe755d0d1,delivered,06-03-2018 02:22,07-03-2018 02:48,08-03-2018 10:38,16-03-2018 13:28,20-04-2018,2018,3,6,Tuesday,10,44,-34,1,c4baedd846ed09b85f78a781b522f126,a1043bafd471dff536d0c462352beb48,13-03-2018 02:31,110,40.99,150.99
779f3890fa0528852a6d4c46cd5772cc,0907b6bd2c685ff7b56d3fb62820e583,delivered,29-05-2017 19:40,29-05-2017 19:50,30-05-2017 15:10,05-06-2017 15:16,21-06-2017,2017,5,29,Monday,6,22,-16,1,144fc7abb16b6f6d92d2c9f34d3c3452,e9d99831abad74458942f21e16f33f92,02-06-2017 19:50,35.99,15.1,51.09
af74613502131dd6a43380df619a57ab,857989fed7e83a38033173b9852ca39c,delivered,11-06-2017 18:18,11-06-2017 18:35,14-06-2017 15:03,28-06-2017 15:05,17-07-2017,2017,6,11,Sunday,16,35,-19,1,ce066f4a83649651549d717c9b566816,4d6d651bd7684af3fffabd5f08d12e5a,15-06-2017 18:35,69.9,32.94,102.84
4f08325d27e2eb6a5a4c5f4f94e59e07,18d365afa5ec0607a357339d11388671,delivered,05-04-2018 21:18,05-04-2018 21:30,06-04-2018 19:41,10-04-2018 19:12,20-04-2018,2018,4,5,Thursday,4,14,-10,1,4da06dee0a480b5d666886ea00b4d9b3,cfb1a033743668a192316f3c6d1d2671,11-04-2018 21:30,25.5,7.87,33.37
a8a52afd408a3023bafcd9ed3c0d2e15,bccacce2d37971951fd3e82965330b87,delivered,30-08-2017 22:43,30-08-2017 22:55,01-09-2017 20:07,08-09-2017 20:09,19-09-2017,2017,8,30,Wednesday,8,19,-11,1,d6160fb7873f184099d9bc95e30376af,53243585a1d6dc2643021fd1853d8905,05-09-2017 22:55,1300,38.51,1338.51
7caa2aaed7e9a56d1bc1004eb7d296e5,8cba14bb8ebdaefa1aa8563ace8ecd69,delivered,17-07-2018 22:29,17-07-2018 22:41,18-07-2018 14:37,20-07-2018 19:54,25-07-2018,2018,7,17,Tuesday,2,7,-5,1,87a9863375a0a462b168cb02bdad360c,9d4db00d65d7760644ac0c14edb5fd86,19-07-2018 22:41,144.97,9.18,154.15
78275af5c9a2f3d0e1d19f9f4bc62922,99182e080513861b4cd1c88dae4c020c,delivered,15-08-2018 10:31,15-08-2018 10:55,20-08-2018 14:25,21-08-2018 14:38,23-08-2018,2018,8,15,Wednesday,6,7,-1,1,f41f2bc23bbc617dd7fe3bbe1168754a,f4db9b37944bcb8873e6b456ee190bbf,21-08-2018 10:55,79.99,9.31,89.3
9c31d604522ef4fd8e0bba68aa3214a1,dd3ea9d48ebef85eeeeebc41d577bdac,delivered,13-03-2018 08:53,14-03-2018 02:48,14-03-2018 20:35,13-04-2018 20:53,02-04-2018,2018,3,13,Tuesday,31,19,12,1,94475071013412139f862c0bd7e3bb37,955fee9216a65b617aa5c0531780ce60,20-03-2018 02:48,39.99,18.23,58.22
